dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-02-09,-5.103232769,-4.748535955,-5.237257803,-5.928616648080841,-4.037834527657052,-4.452665968525824,-4.711913251347163,-6.0122811264031535,-6.0122811264031535,-6.094403187,-5.994939238,-5.1745174,-6.23552559,-6.47420489204339,-5.408009100242778,-5.432451520368552,-6.689899828767437
2000-02-10,-6.047013389,-5.680504028,-6.121495163,-5.932159856724527,-7.639631087183854,-5.081106939334177,-5.30087467789028,-6.650460253113782,-6.650460253113782,-6.643004316,-6.631648638,-5.4805762,-6.675911669,-5.548410113872056,-5.451164924521475,-5.922425633726978,-6.143715417998216
2000-02-11,-6.01385879,-5.632641454,-6.063930665,-5.935718669689546,-5.937886210768025,-5.445684054805381,-5.15661343102481,-6.509791262394278,-6.509791262394278,-6.554929559,-6.483104484,-5.4004129,-6.559706329,-5.9348736711147945,-5.461581055042016,-5.5076030989668965,-6.674676711798267
2000-02-14,-5.808685718,-5.403228088,-5.835243975,-5.939287248225596,-5.654306841358242,-4.59150913614714,-4.8667961996587925,-6.252348630597823,-6.252348630597823,-6.31902676,-6.274336594,-5.2782603,-6.389377075,-6.763134075567,-5.4671972413033405,-5.469081598064707,-7.591067450181786
2000-02-15,-5.435581077,-5.040254482,-5.490988954,-5.942866831691664,-4.966315629304003,-4.357471885891856,-4.550857032253274,-5.891046817368127,-5.891046817368127,-5.978019321,-5.957085021,-5.1438758,-6.19648547,-5.553714982526147,-5.465609183810368,-5.45965330827257,-5.569701142223817
2000-02-16,-5.471982136,-5.068242232,-5.535355998,-5.946457161393266,-5.59472278242742,-5.050434697922615,-5.001582800753981,-6.226282268680523,-6.226282268680523,-6.298110197,-6.147888788,-5.2792744,-6.378246353,-5.315784702676988,-5.472948145339957,-5.783333197746181,-8.416720256869135
2000-02-17,-6.144013008,-5.736246104,-6.16464318,-5.950059474687839,-7.332913864575697,-5.029050669042992,-5.506547103727415,-6.658502180638732,-6.658502180638732,-6.652847347,-6.508882759,-5.4396083,-6.605248771,-5.204860696641918,-5.485050956719609,-5.7826075304432445,-5.976269054059886
2000-02-18,-6.94742231,-6.496533785,-6.899899855,-5.953670996784744,-8.795396195576792,-5.371732800637877,-5.860616594524475,-7.169607274466066,-7.169607274466066,-7.127433688,-6.945604672,-5.7127203,-6.980809982,-6.382764993071971,-5.529296911379348,-5.907461853013773,-6.198241859336433
2000-02-22,-8.721700601,-8.133760854,-8.527972629,-6.775731409169949,-12.869762400091906,-9.74870605666906,-8.61520447510517,-8.429684942035589,-8.429684942035589,-8.310970212,-8.474550139,-6.5927248,-8.318388973,-6.633419266624714,-5.606210226822158,-6.745409966064006,-6.962941814326138
2000-02-23,-8.064993894,-7.519014775,-7.986163924,-6.778871293409809,-8.070699597010202,-7.173158971626681,-6.579782682091317,-7.876469331813367,-7.876469331813367,-7.837841235,-8.095879601,-6.4033405,-8.04255911,-6.180804180878813,-5.604905229598756,-5.544485379223483,-8.725083219213081
2000-02-24,-7.717687447,-7.10807456,-7.607519963,-6.782016687123005,-6.407666212078198,-6.548233713059656,-5.76408722125801,-7.565957653353924,-7.565957653353924,-7.49199104,-7.865847583,-6.2369583,-7.775915532,-5.530822808781074,-5.6109441358186825,-5.548881010227388,-7.985313383357041
2000-02-25,-9.149260864,-8.412271378,-8.896948125,-6.784778337323098,-8.590514692385058,-7.811287265095872,-7.036752937415509,-8.646011572405092,-8.646011572405092,-8.452261055,-8.985733511,-6.8357953,-8.706752851,-5.2657729709029,-5.704035186982721,-6.571163710252884,-7.307348918717201
2000-02-28,-9.751328545,-8.904105132,-9.39965359,-6.788446228385541,-10.399557103918582,-8.993300275951993,-7.343296167350705,-9.027853880192524,-9.027853880192524,-8.863122251,-9.207806047,-6.9962612,-8.971485484,-6.334367513522059,-5.741289644028445,-6.087743069396903,-7.952237283700517
2000-02-29,-9.666903449,-8.883385783,-9.475016361,-6.791632593592993,-8.533879321403816,-8.656290830674582,-8.096477792497614,-9.726621116874156,-9.726621116874156,-9.712967822,-9.829451695,-7.4978103,-9.747069946,-6.842693229419681,-5.772065460626725,-6.66263549594017,-6.182781050635693
2000-03-01,-8.968230183,-8.246043603,-8.907141819,-6.793766319358499,-6.850566036537424,-7.938810363765636,-7.450671547440287,-9.128850732482482,-9.128850732482482,-9.248920795,-9.419730512,-7.2866914,-9.459864438,-6.154552563962156,-5.7487565063462585,-5.67962349915136,-6.893093776496021
2000-03-02,-8.325385197,-7.653519596,-8.36662894,-6.797351264660324,-5.014072322062034,-7.292267400522983,-6.869440213407925,-8.522658079876866,-8.522658079876866,-8.768174625,-8.995042235,-7.0799873,-9.140981746,-6.375376880243718,-5.722882990855596,-5.627522028003432,-6.802740079375275
2000-03-03,-8.106138783,-7.420513433,-8.134546052,-6.798445380072722,-5.4061743605475066,-6.7602339952092745,-6.507154103131041,-8.207999413398902,-8.207999413398902,-8.464780693,-8.661925049,-6.9158072,-8.850284011,-6.308634412343472,-5.7196863250430985,-5.658074228308238,-7.325861562615124
2000-03-06,-7.574065468,-6.864041155,-7.603688607,-6.8043247889039336,-4.430370118033573,-6.623858194237231,-5.842850455184692,-7.603357231492389,-7.603357231492389,-7.891599716,-8.250827632,-6.7123029,-8.511663917,-4.671912431301418,-5.722039706566438,-5.594828974144988,-6.53508104112982
2000-03-07,-7.992017295,-7.260989914,-7.964076865,-6.807646775163263,-6.335165510074573,-6.293396092365493,-6.105923471674595,-7.871530240712983,-7.871530240712983,-8.113021244,-8.320064906,-6.7449816,-8.555122754,-6.165864846530234,-5.752372050750997,-5.908659286007096,-6.429970111555399
2000-03-08,-8.070611642,-7.306375207,-7.993133781,-6.803472035107785,-7.4010664061555484,-6.3567317756636434,-6.072914697348135,-7.83954542543828,-7.83954542543828,-8.083656124,-8.154327602,-6.6706053,-8.426689164,-5.715780432324686,-5.746439608907606,-5.725635874214039,-5.400159172386196
2000-03-09,-8.359705726,-7.548332479,-8.214511823,-6.814107962720082,-8.232102120179281,-6.437624785821372,-6.218339543595536,-7.979380610855438,-7.979380610855438,-8.207626222,-8.139063776,-6.6672525,-8.415986491,-7.211100448951852,-5.773674928244154,-5.827839046697347,-8.104399747704019
2000-03-10,-7.824196355,-6.969975562,-7.669679502,-6.490197630186168,-5.678415995407984,-5.621551918188246,-5.5770597554077606,-7.38430136968784,-7.38430136968784,-7.661381005,-7.771396805,-6.4730215,-8.116808861,-5.903604387010148,-5.771807440689844,-5.586610737054452,-7.755903874067921
2000-03-13,-7.54572509,-6.767989699,-7.494850415,-6.49476000321176,-5.223592087757887,-6.041327246572467,-5.871862951536923,-7.569027639956847,-7.569027639956847,-7.831775249,-7.776552123,-6.4868464,-8.133142894,-6.324867859279364,-5.76508210971131,-5.881107766299909,-7.238969335163332
2000-03-14,-7.078615363,-6.288659364,-7.025862768,-6.499337300415473,-4.457436050659205,-6.062122285462348,-5.3042703876321085,-7.047026202032444,-7.047026202032444,-7.324845195,-7.464756752,-6.3017558,-7.847537039,-6.821555653738941,-5.748149071549108,-5.590951237242626,-6.813651819491808
2000-03-15,-6.680685443,-5.953058627,-6.698171947,-6.503930124490731,-4.229303859253792,-5.103459125742434,-4.92583940129308,-6.822105094291922,-6.822105094291922,-7.126005548,-7.200358313,-6.1595962,-7.637262333,-5.132974121951316,-5.71341130595348,-5.604820780446121,-6.69133876986597
2000-03-16,-6.589435327,-5.894524916,-6.645054256,-6.508537823930119,-4.4933424506547865,-5.544989979271779,-5.966524381013671,-7.138482691928661,-7.138482691928661,-7.403360036,-7.333272209,-6.2330707,-7.737827713,-7.074746040494839,-5.682475735943727,-5.86736040418016,-8.807898015408858
2000-03-17,-7.269226022,-6.483271056,-7.270521534,-6.510237489237863,-5.777817868358572,-9.351394384773709,-7.192658266266145,-8.846009561277402,-8.846009561277402,-8.845861881,-9.295972975,-7.3721135,-9.327677025,-8.095994813753718,-5.764789704552186,-7.212320045801034,-7.8025221561522
2000-03-20,-6.753750274,-6.03075173,-6.818117348,-6.514870696272113,-4.622100488911266,-7.353248481279485,-6.3860010279620605,-8.192470554150953,-8.192470554150953,-8.247231059,-8.912856555,-7.1530533,-8.994948736,-5.734711809718673,-5.756701033417296,-5.647023323801421,-6.535019480033011
2000-03-21,-6.519235942,-5.890602801,-6.646026499,-6.522515888093633,-4.974621387670681,-7.622756711976726,-6.088779397584233,-7.875621813233318,-7.875621813233318,-7.94302295,-8.59705528,-6.9384321,-8.722887029,-6.770572568072264,-5.725998403557454,-5.663488011836146,-7.967553949876731
2000-03-22,-6.382205942,-5.746893077,-6.503021209,-6.524184467047126,-4.771240647076942,-6.904940701576087,-6.113120680917156,-7.919704630059345,-7.919704630059345,-7.968699736,-8.461097788,-6.8919511,-8.613946296,-5.6417480478573605,-5.709589454378568,-5.809608738637791,-10.091836734737294
2000-03-23,-6.079302056,-5.446314786,-6.198408946,-6.528863831751895,-4.426669913675057,-6.139989887171934,-5.870501869012399,-7.574681159305524,-7.574681159305524,-7.694792371,-8.129536786,-6.711506,-8.356802471,-5.709167350479173,-5.697136558182423,-5.648916259230037,-6.318123065049622
2000-03-24,-6.440520367,-5.730165902,-6.490307302,-6.60024265965054,-5.058742274426829,-7.259077692217108,-6.68539789872633,-8.345927906090273,-8.345927906090273,-8.432174985,-8.741881317,-7.1047057,-8.916231721,-5.5852239382440425,-5.729573544607246,-6.43941111685243,-6.408755444090294
