dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH-st,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-02-10,-5.707313431,-5.211433276,-5.368732358,-5.836471604726329,-4.653321659266733,-7.812050706691971,-6.789701276592395,-6.7322447952609386,-5.339545286,-6.7322447952609386,-6.659931644,-0.068602092,-8.421253034,-6.017937154758161,-5.598632949584142,-5.952182157814832,-6.236509895176611
2000-02-11,-5.454268122,-4.973796801,-5.125345388,-5.835243208276159,-4.098843049490407,-8.541980334585297,-8.468776733049758,-7.651063106642078,-5.033114439,-7.651063106642078,-7.483320967,-0.075287928,-9.027540714,-6.013366914921837,-5.621726039146944,-6.598534798997775,-7.28146062519507
2000-02-14,-7.051531222,-6.46343735,-6.513686878,-5.834003383846538,-9.047127147279149,-9.267629063223216,-9.22916913568914,-8.022391552239835,-6.30277799,-8.022391552239835,-7.746302894,-0.077795936,-9.147105974,-5.298042801077899,-5.615719395282789,-6.215717128661655,-6.812582389734365
2000-02-15,-6.635375684,-6.080484539,-6.160718843,-5.832762473415454,-7.123310941530369,-7.568210484017968,-6.52072585523246,-7.131225406706566,-6.104174989,-7.131225406706566,-7.083815485,-0.07133162,-8.65566238,-6.008996972530867,-5.621574692047775,-5.840558023762828,-7.23245792532475
2000-02-16,-6.889498202,-6.325698715,-6.399260488,-5.83151499372126,-8.088338073654173,-7.395975779373349,-6.564908564607886,-6.995879653453411,-6.488487712,-6.995879653453411,-6.846956285,-0.068906489,-8.412951394,-6.971087983772208,-5.642328300755734,-5.9492991260454176,-6.0234039079017245
2000-02-17,-6.587913839,-6.046820812,-6.141770033,-5.829410163909516,-7.526125748617908,-6.7507070070837605,-5.569759593099611,-6.473872613541086,-6.367950996,-6.473872613541086,-6.40173712,-0.0650829,-8.022111071,-7.579638808260961,-5.6288515141115125,-5.8232458511335015,-5.560029300478176
2000-02-18,-6.176278396,-5.659046876,-5.771019431,-5.829010930903116,-6.5315097638104165,-7.263498618558616,-6.521031510440984,-6.44950545840884,-5.956990777,-6.44950545840884,-6.215045563,-0.063949708,-7.841277568,-6.818864387886743,-5.630358819160181,-6.002956499807796,-6.934151826581214
2000-02-22,-7.494433881,-6.897671756,-6.937724237,-5.827757643071585,-10.30204497385034,-7.218898621018553,-7.872796941589247,-7.110882896385359,-7.022084338,-7.110882896385359,-6.779635083,-0.067161065,-8.156528158,-6.500087880383183,-5.642444376437425,-6.190183152936202,-8.009080127402187
2000-02-23,-7.374204289,-6.795348172,-6.858206812,-5.825998497882769,-9.30152470382042,-6.732087987770576,-6.84102265751106,-6.818192687684879,-7.111233913,-6.818192687684879,-6.467370422,-0.064997095,-7.899362448,-6.395512501336097,-5.643005020998045,-5.891460999339823,-7.597581182217382
2000-02-24,-6.826143066,-6.278070574,-6.373379973,-5.826182909496175,-4.650964942297682,-13.635615969946713,-12.8017108136612,-9.903788834050935,-6.49675078,-9.903788834050935,-10.57977554,-0.104906552,-11.4887321,-6.778034081867692,-5.800015631654357,-8.778252807660065,-7.638321792954797
2000-02-25,-6.68482352,-6.115370266,-6.222911783,-5.824337874781404,-6.333967140841803,-12.053458171520417,-9.246205161237532,-8.865282547732974,-6.492618172,-8.865282547732974,-9.769750364,-0.096422721,-10.85298135,-6.299711365487313,-5.81138591136059,-6.054846790189775,-9.557487719023165
2000-02-28,-7.664560381,-7.049595681,-7.106281885,-5.822947925582175,-9.517123037374422,-10.39593912605044,-8.849195196259522,-8.750097927666713,-7.335892178,-8.750097927666713,-9.391525228,-0.096917416,-10.66421229,-7.950822015184259,-5.802236809926197,-6.313800648104456,-7.544113060870254
2000-02-29,-7.576053699,-6.97911596,-7.054819412,-5.8213508472554505,-9.311795404065103,-9.194012730623674,-7.951725449457061,-8.123255940760695,-7.430604731,-8.123255940760695,-8.69628913,-0.087937935,-10.20963459,-5.958853188533873,-5.8122451439727785,-6.100718558516129,-7.567796802855039
2000-03-01,-6.993607465,-6.430630874,-6.539231855,-5.815619174799938,-7.662954952757239,-10.486175716735907,-6.377071394344291,-7.318002750443331,-6.880758218,-7.318002750443331,-7.977827217,-0.08036114,-9.703751524,-6.953936354555722,-5.807464415106977,-6.055585942243773,-7.959223789640218
2000-03-02,-6.605930961,-6.06349664,-6.191711729,-5.811854834640847,-6.17291157505092,-7.9858190617214015,-5.277317597001473,-6.700948592721822,-6.613049395,-6.700948592721822,-7.393395645,-0.074911538,-9.231649988,-7.34722629411198,-5.811978984094905,-6.011227435634593,-8.366640852438062
2000-03-03,-6.191120368,-5.672791227,-5.812897596,-5.818529617963869,-5.50130142931526,-9.266905302839884,-6.382270114831029,-6.1317311998480095,-6.187927649,-6.1317311998480095,-6.838595728,-0.069997326,-8.782595303,-5.678788883981924,-5.804939081321876,-6.006953621638117,-8.618103695082032
2000-03-06,-5.850078019,-5.351403013,-5.495717863,-5.732848060262372,-4.806488472721686,-7.991930469907459,-7.07247415159234,-6.511091213082507,-5.791707751,-6.511091213082507,-6.845276396,-0.06987437,-8.71221711,-5.452020805671278,-5.810446655171809,-6.322676531224662,-6.610272490134429
2000-03-07,-5.868264809,-5.358964146,-5.492507156,-5.731772800908353,-6.182122864055954,-6.850505601758791,-6.017137750375142,-6.272692180026828,-5.876580444,-6.272692180026828,-6.521851155,-0.066573871,-8.342893164,-5.902211326453827,-5.8110075630959015,-6.0306305911621205,-7.448423336273865
2000-03-08,-6.882839169,-6.324970642,-6.395416416,-5.730695830800909,-9.472300235514933,-7.388037297077247,-7.132077911782191,-6.767269855068571,-6.707957696,-6.767269855068571,-6.774953742,-0.067471219,-8.399205022,-6.104677986373982,-5.846796408589461,-6.267089010895389,-8.299536715798846
2000-03-09,-6.419534432,-5.888591723,-5.983894636,-5.729616366916619,-6.855951874734861,-6.310386279621681,-5.523327799281289,-6.046760602683122,-6.275765013,-6.046760602683122,-6.280485717,-0.063548565,-7.986142586,-6.756337362956043,-5.826121210849473,-6.015320746273039,-6.239569222580911
2000-03-10,-6.037696081,-5.528750108,-5.638755991,-5.728536034215947,-5.446340881728744,-8.024823287022265,-8.485937277403401,-6.964027958968013,-5.848766847,-6.964027958968013,-7.032121713,-0.070431814,-8.550502851,-6.873725448310824,-5.848322404194372,-6.712563334451716,-6.990049465107639
2000-03-13,-6.544213149,-5.989288626,-6.071726799,-5.727452185897232,-8.295664666647742,-7.465412399140307,-7.610385750656461,-7.02748820018698,-6.344319605,-7.02748820018698,-6.95254023,-0.068522168,-8.36039549,-5.59690093013025,-5.871055173568133,-6.179234198931124,-7.039295484628728
2000-03-14,-6.179849066,-5.651356223,-5.752875617,-5.726365848881582,-6.215695857396388,-7.0965523898674485,-5.675241681497242,-6.379203701539679,-6.074966755,-6.379203701539679,-6.463290414,-0.0646163,-7.96716207,-7.633868128522127,-5.872125152079803,-6.059511392224554,-6.585495841235599
2000-03-15,-7.277773086,-6.695941228,-6.739305586,-5.725277376584958,-9.982596044630984,-7.557199824957018,-7.181967093330927,-6.955966981804979,-6.98265617,-6.955966981804979,-6.837537566,-0.06687453,-8.15169485,-5.997263059705835,-5.911593884624716,-6.367690587198577,-9.599306812085294
2000-03-16,-7.604650684,-7.018041044,-7.061268977,-5.724923781940928,-10.507455888754944,-7.018579343931582,-7.200044347875574,-7.005350737199213,-7.39568745,-7.005350737199213,-6.769617167,-0.067097644,-8.095233796,-5.450034921322918,-5.913626071950156,-6.234747279938247,-9.057645395411232
2000-03-17,-7.01735183,-6.462972264,-6.544675952,-5.72309167862278,-7.023609219762878,-6.264876844224804,-6.889210843181491,-6.737358346808682,-6.838601328,-6.737358346808682,-6.451435054,-0.064494209,-7.89510035,-6.880419719310002,-5.896918901888584,-6.226862860405607,-7.950594491811834
2000-03-20,-6.530687461,-6.002698019,-6.109365781,-5.721996631915574,-5.552866947410065,-7.832093152957722,-7.264192129798229,-6.677755665772055,-6.361836884,-6.677755665772055,-6.322381106,-0.06332031,-7.75314018,-6.015872996492341,-5.871606478336052,-6.240976875362208,-10.203614369627832
