dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-02-07,-8.220250452,-7.961475013,-8.62912096,-7.147467614559362,-5.698773597203358,-6.356664251415173,-5.56047585333577,-7.327721441832738,-6.16952610307262,-8.036778381,-7.36652729,-0.059707475,-7.082339672,-8.777363164329564,-6.868146871455934,-6.779362609268393,-9.173089184416222
2000-02-08,-8.473302873,-8.195350789,-8.961016121,-7.1497626429668335,-5.735612027596582,-5.448030796425613,-6.801629466269545,-7.6810334099826,-6.461572155245515,-8.201014208,-7.867652959,-0.063534259,-7.513903105,-7.55552183101413,-6.874734961575889,-6.866276815596205,-10.224791972563349
2000-02-09,-10.07657432,-9.974937692,-11.74487547,-7.206166939990047,-6.568434134333966,-24.0161158910871,-5.10274380199605,-12.299535358388248,-10.047618789561843,-11.8493126,-31.3411982,-0.233157864,-26.80327415,-8.28754972811959,-7.564484717222514,-13.554033968841075,-11.681828330529852
2000-02-10,-10.96963359,-10.81025337,-12.9799754,-8.277545065895433,-12.56000291266923,-27.90280221549696,-12.137022285385292,-12.905279868497423,-10.96816200529163,-13.30422774,-16.88327532,-0.127893965,-15.45221834,-7.753520025934927,-7.720990088021676,-9.014439654968257,-9.450227053825694
2000-02-11,-10.761223,-10.46490457,-12.32199918,-8.285262442276045,-10.305487508467756,-23.78006232008328,-10.168786009396278,-12.18040348349749,-10.448986068012651,-12.3134394,-6.729878284,-0.054483195,-7.134898185,-8.114896841816607,-7.723192136488771,-7.333068693757444,-10.169313133264096
2000-02-14,-10.46027801,-10.16561304,-11.77728797,-8.292244148847763,-10.30375217172221,-19.123280712601478,-7.681224271861945,-11.727941129828288,-10.05391263513108,-11.64452507,-6.431430686,-0.054001279,-6.631770681,-8.027536227724394,-7.688964567703618,-7.329050319992074,-11.723248662273056
2000-02-15,-10.85697416,-10.57462247,-12.33269549,-8.299256335102891,-12.37734941155412,-16.20512148578801,-9.679927079405084,-12.047580668308315,-10.268705236588298,-11.91859667,-9.921032196,-0.081522271,-9.245941289,-8.376823055179688,-7.744621554951243,-7.902372599221118,-9.398908194460022
2000-02-16,-11.37253182,-11.07258533,-13.02132179,-8.306301158827589,-13.09454192612677,-9.087879304523712,-11.098207224721303,-12.401674163136883,-10.581090250009948,-12.3566941,-11.08820927,-0.090158758,-10.24795176,-8.952076237676597,-7.817210446022129,-8.143564963118937,-10.943221924084748
2000-02-17,-11.58007342,-11.22853126,-13.1505634,-8.31337254486457,-13.081647219990264,-15.116261729248002,-9.71140455176874,-12.269867115226084,-10.497206671195384,-12.16369227,-7.939080524,-0.065900985,-7.754445443,-8.675229243287532,-7.840935643956574,-7.609230815512495,-10.09557161177028
2000-02-18,-11.57939641,-11.18855748,-12.96675297,-8.316024287020065,-9.359336896494662,-13.548451542798572,-8.159806670659728,-11.94413794100757,-10.214776228865986,-11.69884368,-6.843224756,-0.057501308,-6.902577334,-8.055014608360466,-7.794212099375835,-7.380681974213585,-12.30172583031942
