dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2009-04-22,-5.143320398,-15.86907041,-4.046521529,-8.915058329,-5.249815079,-3.86055525,-8.776090932,-5.501489755,-11.54634337,-4.237045748,-4.416092531,-2.918857409,-4.769709015,-1.939953551,-15.30818493,-3.375771223,-3.888149111,-2.635021435,-6.968111065,-3.46891498,-4.728706495,-5.882729148,-2.193019286,-4.322661697,-5.399844044,-6.077543979,-4.91072632,-4.509851302,-4.677062379,-3.731298414
2009-04-23,-5.004694932,-15.16272298,-3.757318542,-8.917686479,-5.229675729,-3.898032097,-8.368891967,-5.192397236,-11.47728771,-4.099620742,-4.977174365,-2.56349282,-4.710902467,-2.645214059,-14.82751507,-3.245599484,-4.052259023,-2.635021163,-6.926281165,-3.285368195,-4.720704084,-6.217529875,-3.017314222,-4.127476319,-5.357944265,-7.38578124,-4.451544194,-4.483163653,-4.655469045,-3.903843333
2009-04-24,-4.933443066,-14.48908364,-3.512580651,-8.858066615,-5.033939115,-3.754987639,-7.961190642,-4.882310859,-11.4084377,-4.134682305,-4.425567727,-2.821719749,-4.679851535,-2.343237444,-14.3360161,-2.968776021,-4.030517742,-2.635021083,-6.647903182,-3.375834942,-4.759825026,-6.276869077,-2.708651646,-3.508622235,-5.296314838,-7.080280526,-4.103442707,-4.456614211,-4.629665478,-3.803259727
2009-04-27,-5.028371356,-13.93305079,-3.319035247,-8.871894101,-5.298851488,-3.622327416,-7.792337804,-4.719171754,-11.34421737,-4.002974016,-3.992759825,-3.112396401,-4.57180536,-2.495658187,-13.78627716,-2.852503719,-4.066610528,-2.635022346,-6.36673596,-3.942785311,-4.591682847,-6.159158139,-2.333898074,-3.322006895,-5.244290197,-6.973051842,-3.983823748,-4.430257218,-4.610557422,-3.698893075
2009-04-28,-4.910888579,-13.8782801,-3.152080374,-8.812621463,-4.93551255,-3.700635735,-7.876284036,-5.07971155,-11.2759424,-4.060369297,-4.224810913,-2.794335625,-4.644650696,-2.203941541,-13.35990865,-3.061642441,-3.922733435,-2.635022072,-6.046020335,-3.724935005,-4.633858428,-6.296851953,-2.116097176,-3.415383032,-5.179158904,-6.687738237,-3.810689366,-4.408490168,-4.593414854,-3.605118519
2009-04-29,-4.908989488,-13.25147763,-3.437408262,-8.753798898,-4.893200346,-3.572013922,-7.598810719,-5.026685066,-11.20816975,-3.932842757,-3.98690424,-2.790461612,-4.667206602,-2.163408649,-12.84650206,-2.800013218,-3.780190103,-2.635021805,-5.844730814,-3.533367926,-4.612610303,-6.143298468,-2.179693498,-3.004972689,-5.127245801,-6.416451914,-3.633673759,-4.38248339,-4.567996202,-3.524414975
2009-04-30,-4.835437525,-12.65285781,-3.314312024,-8.737636676,-5.041696279,-3.455516674,-7.400320675,-5.09661109,-11.14465612,-3.812558751,-3.647028842,-2.796529224,-4.614080316,-2.068566692,-12.48369149,-2.718193118,-3.655769317,-2.635021635,-5.967467248,-3.709636283,-4.789357038,-5.771255702,-2.02614698,-2.854918601,-5.063743717,-6.158565145,-3.46891605,-4.365127177,-4.685595671,-3.496691953
2009-05-01,-4.786323481,-12.07868252,-3.499060277,-8.858584906,-4.663395309,-3.651468064,-7.876154751,-4.96896354,-11.10141002,-3.699545242,-4.051734573,-2.897809101,-4.587805898,-2.319890395,-12.51108513,-2.613993799,-3.764862137,-2.635021361,-5.781240579,-3.433345538,-4.810013753,-5.555879876,-2.514450444,-2.478131509,-4.999842657,-6.467309491,-3.731882053,-4.339445707,-4.659585042,-3.780895445
2009-05-04,-4.757785273,-12.03667295,-3.329997344,-8.924040267,-4.607147996,-3.527092867,-7.773847681,-4.624635994,-11.03462483,-3.896402123,-3.698219895,-2.780665178,-4.462716761,-2.106528581,-12.11704311,-2.857751764,-3.802269495,-2.635021094,-5.495405027,-3.217263246,-4.669913425,-5.617002443,-2.221161298,-2.480320635,-4.956133692,-6.206905799,-4.156909962,-4.313944654,-4.634134486,-3.729929528
2009-05-05,-4.794083842,-11.54007155,-3.17309588,-8.922688772,-4.411439424,-3.419873254,-7.59178798,-4.543431678,-10.98743027,-3.778203943,-3.418628919,-2.711989659,-4.505873089,-2.29317387,-12.07541734,-2.850154022,-3.690649072,-2.635020857,-5.325029857,-3.040071967,-4.693341511,-5.82104247,-2.050360839,-3.123520956,-4.962656053,-5.959414703,-3.906564947,-4.28863141,-4.621159851,-3.58501519
