Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2011-06-30,-4.326733772166461,-3.7827506847717376,-3.0237198116076733,-4.560967445205456,-4.716231303524843,-3.4800744216128345,-3.8046408520220614,-2.969934767425508,-3.506405820904429,-3.9707439827551614,-3.022704329459967,-2.319446290902522,-3.5972875467859,-2.007130447315385,-3.866619415955776,-2.273228190517238,-1.941236736387308,-2.944107007122308,-2.785624562319997,-3.912334094235585,-5.743180256523467,-3.147833799814897,-2.0297415512740185,-2.293891053850906,-2.9145244648005555,-4.214808421688752,-2.6612791053657703,-2.2695779725194396,-1.8825532914467262,-3.8318377289362004
2011-07-01,-4.035942576215992,-3.863889469897484,-3.1177512130141403,-4.836542067827212,-4.822459821711939,-3.564068511463754,-3.705823811651618,-3.17686133857132,-3.6165628634660867,-3.7881111086442956,-3.374094729072574,-2.2671466016687285,-4.071476337925861,-1.8732443071659057,-3.952410010758402,-2.3052353224983246,-1.9061234796879845,-3.0708955402318443,-2.755290619425915,-3.9562528254007696,-5.404090261033499,-3.0505002762831412,-2.1922788898056136,-2.245621952808666,-2.7512802677313184,-3.979308369841416,-3.005611511918298,-2.392954118309144,-1.9408541462134716,-3.863772959814907
2011-07-05,-4.242865603940497,-3.870386666899335,-3.0238515826418477,-4.912939113128088,-4.89107667229055,-3.563323486395549,-3.6597694546265465,-3.360700595880561,-3.7515560552774865,-3.8161730878290725,-3.5426659862302374,-2.5997300183795575,-4.15132031465588,-2.06452929084372,-4.1006007084278355,-2.4033531017710117,-2.0554167614757177,-3.2010776866615274,-2.795993575407832,-3.699926843771009,-5.417087209393104,-3.0142704845370654,-2.280308131195617,-2.2775454889650177,-2.8113019171224884,-4.3486645783842794,-3.230902938912163,-2.531717137168786,-1.960459649262272,-3.7368819481609328
2011-07-06,-4.289701487067158,-3.658633946095721,-2.911782191751461,-4.664407552231033,-4.832898672738507,-3.5028704700877555,-3.4822711379975755,-3.2860584748488066,-3.705487950775906,-3.6002188270746833,-3.6782748517343387,-2.517063217927769,-3.9922277197385156,-1.9748307618503729,-4.064619796138157,-2.2984795550105788,-1.9597234404439483,-3.1368030245243324,-2.6996438888895335,-3.4526669248782706,-5.109999901424736,-2.91242342735592,-2.178412616533655,-2.1576444271569946,-2.8005004912060163,-4.183335133290164,-3.1459070672122853,-2.4079360514996178,-1.8925514493713682,-3.540931911518412
2011-07-07,-4.034796594590561,-3.58650416080051,-2.8925914883051,-4.649199636295713,-4.716277364633658,-3.2397886768136037,-3.3716558728535606,-3.282062544216279,-3.511840937031581,-3.3354338000308736,-3.6211261169599833,-2.669377220255697,-4.003274975622433,-1.8258059126589694,-4.063873677492814,-2.2051057605020956,-1.8935533193788787,-3.152142728334844,-2.580399417419197,-3.469724425169027,-4.90751129789721,-2.7893919566426195,-2.1779911261050113,-2.2923362324946086,-2.6510254504372432,-4.012656869302104,-3.1167204511639084,-2.4121887103714847,-1.8873633819250581,-3.2746674029607457
2011-07-08,-4.043043659686593,-3.6640554281393944,-3.002469312597352,-4.623998147569562,-4.880687787886947,-3.308454257431684,-3.5092138537631885,-3.1394197597094777,-3.5613282599066873,-3.383695421271833,-3.534258868210645,-2.6250955378284027,-4.163435317184797,-1.7937250336792228,-4.224445693399478,-2.1137321794019948,-1.82983726501701,-3.1433274573274734,-2.568805438616811,-3.6041489913065687,-4.8593776816421705,-3.058756209064851,-2.138559599582008,-2.1584224193079464,-2.5861108067999883,-3.9883969982288248,-3.1309604909961233,-2.3438014401572755,-2.0376081132963173,-3.2290172720417476
2011-07-11,-3.819399642100299,-3.6312394378468635,-3.065929318437367,-4.568829032199775,-4.790678125605584,-3.2074248075217073,-3.667059128608981,-3.0279834695064265,-3.683353390846027,-3.4261301039850416,-3.3430373236806186,-2.4142067439888244,-4.03170229932806,-1.8116956857321025,-4.188472462239625,-2.0111097967172515,-1.8422214158326145,-3.070261463120427,-2.6411532050202102,-3.4843794191113617,-4.670899317826208,-3.0016155319742137,-2.0450005877517805,-2.0793546779245755,-2.5037426176677267,-4.0044949660248035,-3.1685988239229403,-2.2487812534884974,-2.0478461007108764,-2.9796525076272387
2011-07-12,-4.016579324546497,-3.7269432491616348,-3.2837442387248506,-4.708553608244328,-4.88928471206598,-3.3322793985950336,-4.103802235368,-3.211630707115708,-3.8396733632165967,-3.352360181433649,-3.875431273722209,-2.4752038130337137,-3.9996127591907826,-1.8014208944429393,-4.915817187863666,-2.0828791605360957,-1.821954652909723,-3.103418776871237,-2.751041722679933,-3.4906198672959605,-4.77812783569372,-2.9564232897414984,-2.0048624605952416,-2.179419135010231,-2.5168514934709143,-4.2750366690394275,-3.295870885647405,-2.3003740386866456,-2.02070435594465,-2.910349173872086
2011-07-13,-3.7556621900250926,-3.5341313722934777,-3.397810032265777,-4.662720628035078,-4.847415851155601,-3.102625705765591,-4.395829353549103,-3.0742185450216084,-3.8695310604007487,-3.2766633686557545,-3.652484736719898,-2.443152474613231,-4.105691619932042,-1.7603244113114143,-4.565894747095096,-2.044096937564513,-1.8216156434775022,-3.0767862766669785,-2.600509705711751,-3.342877399000834,-4.587663991007978,-2.8622316552713114,-1.9658175297438836,-2.068310496336435,-2.3755393195537646,-4.149032363774968,-3.270987330338006,-2.1991622291333695,-1.925561761153067,-2.700681091430746
2011-07-14,-3.7113193446818142,-3.501745109448245,-3.3005913864701,-4.663004355715515,-4.634025824589431,-2.9956143862728575,-4.265399638512533,-3.087861081777124,-3.7877248440061613,-3.0196502537800485,-3.5242401924035764,-2.236399203544461,-3.8849935557961435,-1.8629165236612695,-4.322932210814634,-1.9633798241970135,-1.7640901538389104,-3.0016867700015712,-2.6821019773888377,-3.182717312290461,-4.468993051361186,-2.753550599520358,-1.8975559104208854,-1.9665996608896135,-2.2765295328915345,-4.011167354700918,-3.1458077216439646,-2.1583279564524998,-1.8447048639683774,-2.6484874908958163
2011-07-15,-3.4952431468985563,-3.5290243405739146,-3.3543139223849154,-4.585314604844637,-4.564578232078833,-2.8735791283962717,-4.196916074480821,-2.9123406748152987,-3.5931715969247673,-2.9145313281698884,-3.50581363038687,-2.0726044679008537,-3.8441330088998797,-1.684390114122813,-4.491710289306841,-1.9768925709811214,-1.8265021451722843,-3.0345468481804962,-2.666408097932973,-3.1122547192092473,-4.264269100688687,-2.6959932418030927,-1.8234776854794998,-2.0033385999141604,-2.398953362061254,-3.964186491089403,-3.0428563284256462,-2.07867146737424,-1.87735641648305,-2.513490912438183
