dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-12-22,-10.10005783,-8.525478525,-6.853038932,-6.925959422,-16.90467666,-10.05507918,-7.734010493,-7.734010493,-10.56899887,-7.501670054,-9.3651092,-9.3651092,-11.98588946,-4.285947706,-9.221551073,-7.848952115,-6.625582553,-5.303225641,-5.502548571,-12.69306856,-8.570775303,-8.261476279,-6.019512053,-6.218898329,-10.07359936,-6.391934618,-7.515131158,-7.947734323,-9.17947786,-5.210363554
2000-12-26,-11.65591422,-8.183132343,-6.798498465,-7.11870154,-17.08749968,-10.62840399,-7.985752427,-7.985752427,-10.57960399,-12.31536286,-10.51491536,-10.51491536,-10.48068007,-4.181644644,-8.816951503,-7.569483149,-6.485846266,-5.137644988,-5.595727068,-13.12961621,-8.848106101,-8.593359315,-5.791906818,-6.095880597,-9.716600951,-6.092101748,-7.249277063,-7.786153368,-8.889863517,-5.30321975
2000-12-27,-11.05428246,-7.65986365,-6.334538494,-7.161937083,-16.01814495,-10.20400479,-7.926878453,-7.926878453,-10.48820042,-3.37E+108,-10.65627848,-10.65627848,-9.975409667,-4.137086202,-8.322139379,-7.480969891,-6.392012903,-5.197918032,-5.682965191,-11.72559422,-9.38499402,-7.79188063,-5.521523762,-6.155588186,-9.376181916,-6.790898769,-7.45708487,-7.941529906,-9.106035731,-5.361392663
2000-12-28,-10.20293297,-7.22737299,-6.452191384,-7.05911386,-14.77558342,-10.21387594,-8.216793714,-8.216793714,-10.7024681,-11.43465804,-9.971666949,-9.971666949,-8.682027944,-4.052780743,-8.073583619,-7.20401062,-6.399984693,-5.452828311,-5.51578148,-10.58085836,-9.771660711,-7.326446641,-5.889127253,-6.281383986,-9.071054916,-6.699368072,-7.101537868,-7.796440417,-9.247161215,-5.244925544
2000-12-29,-9.309876787,-7.063854003,-6.689695581,-6.919545718,-14.33119358,-9.907053519,-8.123053205,-8.123053205,-10.5177294,-3.71E+153,-9.385173103,-9.385173103,-8.071875843,-4.162839423,-7.799956744,-6.943288319,-6.43667667,-5.559988605,-5.582295308,-10.70260012,-9.401426718,-6.926776667,-5.674304526,-6.216330681,-8.615118437,-6.774978327,-7.40445138,-7.922765814,-8.818949147,-5.171738821
2001-01-02,-8.771771679,-6.964540307,-6.34122861,-6.821609834,-14.08962132,-9.95380083,-7.945143306,-7.945143306,-10.69241357,-12.40390891,-8.818400779,-8.818400779,-9.778693375,-4.019890975,-8.02663398,-6.606360109,-6.319234984,-5.512477777,-5.553219812,-10.31476563,-9.227297939,-6.468170585,-5.63270764,-5.907364011,-8.19894114,-6.511035883,-7.455848694,-7.803366215,-8.34792167,-4.966238877
2001-01-03,-8.202621886,-7.786467044,-8.504377822,-6.845145374,-16.84524786,-10.32050298,-8.078057541,-8.078057541,-10.35829355,-12.62494303,-8.257915141,-8.257915141,-9.250081597,-4.408494033,-8.206674035,-6.282100088,-6.298292683,-5.464051389,-5.468873829,-9.142583685,-9.293334383,-6.036616986,-5.209053979,-6.464574207,-8.855425961,-7.203281439,-8.314143353,-7.394882928,-8.103665286,-5.095981275
2001-01-04,-11.92199005,-8.859549899,-7.370534467,-6.724832428,-21.29312835,-10.00841065,-9.030487041,-9.030487041,-11.60211349,-13.03956205,-10.14134999,-10.14134999,-9.011346829,-4.783263639,-10.95478422,-6.432867129,-6.196817812,-5.415856523,-5.784349026,-11.72995019,-9.422075715,-7.224873966,-6.472856838,-6.129536424,-8.500367209,-7.015891185,-8.559560391,-8.120177084,-9.245086098,-5.654555816
2001-01-05,-12.31112915,-8.922653075,-7.331860785,-6.958252258,-19.95722628,-10.27810914,-9.045297714,-9.045297714,-11.1788328,-13.05368012,-9.648584517,-9.648584517,-10.26454404,-4.943351436,-10.72323687,-6.600797159,-6.220856185,-5.356567249,-6.130049526,-10.88490788,-9.461155352,-7.637320922,-6.845233833,-6.200179148,-8.169958678,-7.531439077,-10.49168396,-8.308997939,-9.484623317,-5.721686198
2001-01-08,-12.34949085,-9.465486694,-7.827186111,-7.317443644,-21.94961914,-10.7606059,-8.89394881,-8.89394881,-11.26192027,-13.49788688,-9.084577608,-9.084577608,-10.51895857,-4.903746403,-11.3361704,-6.305436273,-6.108270922,-5.632678128,-6.136301171,-10.1272396,-9.727385759,-7.258909663,-7.149723843,-6.509198191,-8.335388821,-7.448831703,-9.536692343,-7.755809417,-9.75541292,-5.465885869
2001-01-09,-11.23930369,-10.02465817,-6.855931156,-7.186257014,-20.31124672,-10.43364202,-9.132141811,-9.132141811,-11.39120513,-13.53158402,-8.726496938,-8.726496938,-11.20186217,-4.695565652,-10.71404943,-6.252908705,-6.003581367,-5.514215193,-5.956406161,-9.188401676,-10.10566216,-6.976947648,-6.963583788,-6.480424735,-7.727183972,-7.589379443,-8.570157798,-7.386612004,-9.243652969,-5.279669531
2001-01-10,-11.43530164,-10.27284568,-6.173245617,-7.038632771,-18.87367079,-11.04791326,-8.834761262,-8.834761262,-11.46109504,-13.33844288,-8.45347495,-8.45347495,-10.26718953,-4.593967435,-10.27194063,-6.133052236,-5.906823221,-5.53317305,-5.833182402,-10.13117729,-10.17673343,-7.186285037,-6.974662462,-6.618033011,-7.976191027,-7.620948305,-7.971659649,-7.356370611,-9.165989075,-5.21945565
2001-01-11,-11.5373533,-9.666996804,-6.633487858,-6.991922573,-17.91825071,-10.8871574,-8.635648263,-8.635648263,-11.42706232,-13.31022307,-8.033618459,-8.033618459,-9.333205225,-4.853983647,-10.52476897,-5.881517269,-5.809645624,-5.46836823,-5.76254274,-9.698633391,-10.01374403,-7.167316068,-6.590311926,-6.67719051,-7.601950813,-7.412662938,-8.575196253,-7.168509199,-9.058912448,-5.197472064
2001-01-12,-13.43347005,-9.49022697,-6.755193813,-6.896338866,-18.22136937,-10.75595668,-8.684063746,-8.684063746,-11.39490681,-13.30191414,-7.602837497,-7.602837497,-8.531732305,-5.247079246,-11.08957248,-6.152376789,-5.809154535,-5.317467657,-5.790878461,-9.937740647,-9.64929618,-7.365731914,-6.388219722,-6.688905186,-7.047696379,-7.068537072,-8.444442804,-6.84729778,-8.612538977,-5.107222494
2001-01-16,-13.15792683,-8.835846115,-7.003503288,-7.068059134,-17.28026303,-10.35552983,-9.179494465,-9.179494465,-11.04515227,-13.44097776,-7.166374711,-7.166374711,-7.930612559,-5.415790947,-10.69694409,-6.046078994,-5.899490645,-5.406746155,-5.65026639,-9.764823784,-9.560857852,-6.977217814,-6.851780519,-7.221973321,-7.226020826,-7.585997594,-8.34935753,-6.535427885,-8.447166929,-5.084335143
2001-01-17,-11.75028099,-8.373557145,-6.439215609,-7.077506698,-15.99034458,-10.387452,-9.420063793,-9.420063793,-10.76362225,-13.40090825,-6.942300352,-6.942300352,-9.324533116,-5.217341223,-10.08688867,-5.850031222,-5.879093923,-5.634318101,-5.715026112,-9.348361572,-9.346337489,-6.542279857,-6.7350066,-6.88139858,-7.171930703,-7.679260919,-7.841711633,-6.587220715,-8.541717244,-5.045692737
2001-01-18,-11.14830851,-8.277347489,-7.350393823,-6.982529626,-14.84416932,-10.04814825,-9.191879237,-9.191879237,-11.03865465,-13.3372773,-7.483779334,-7.483779334,-8.949491119,-5.423715166,-9.548470814,-5.842719835,-5.875659155,-5.820042547,-5.818154194,-8.602868798,-8.97349946,-6.686206728,-6.779191345,-6.787674443,-6.725249951,-7.579605241,-7.785303811,-6.394474345,-8.354341231,-5.106560904
2001-01-19,-14.23498333,-7.776723377,-7.288431703,-7.491146335,-15.43448222,-9.608225911,-8.969528602,-8.969528602,-11.23094366,-13.65928748,-9.388048651,-9.388048651,-8.868461406,-5.59195664,-9.57160422,-5.804866553,-5.990437612,-5.730672232,-5.839238322,-9.283544178,-8.678447417,-6.404441999,-6.275073672,-6.616317892,-6.372397613,-7.225384993,-7.373952199,-6.6939485,-8.22818741,-5.106757
2001-01-22,-13.96095935,-7.71155369,-7.479521321,-7.567076977,-14.95806729,-9.591045954,-8.828756465,-8.828756465,-11.78626437,-13.70478306,-9.414732322,-9.414732322,-9.251290295,-5.286056264,-9.330250345,-5.920972754,-6.043982725,-5.783687389,-5.726838929,-11.21137171,-9.410186753,-6.094195599,-6.050606537,-6.802289053,-6.363157797,-7.072520091,-7.227736658,-6.338985419,-8.631689798,-4.96275003
2001-01-23,-12.51713266,-9.091732809,-6.676106779,-7.425986713,-14.10424881,-9.273482666,-9.108353755,-9.108353755,-12.17825913,-13.76637612,-9.307554681,-9.307554681,-8.860580271,-5.03906998,-8.867099237,-5.630825411,-6.073683357,-5.814707078,-5.585099427,-10.6388861,-9.132696878,-6.125660621,-5.893789186,-6.629425947,-6.375343056,-7.382101625,-9.393817171,-6.54932598,-8.738551627,-4.90566058
2001-01-24,-13.28022703,-9.124157683,-7.01578181,-7.398839444,-13.61312022,-9.18749695,-9.234016811,-9.234016811,-11.99539822,-13.6430469,-8.86904579,-8.86904579,-9.082963895,-5.099018055,-8.62553949,-5.739224614,-6.155523451,-5.853979567,-5.779607625,-9.95158246,-8.817175099,-6.142024328,-5.457023206,-6.454311765,-6.115527375,-7.498347641,-10.25394771,-6.253672614,-8.496602424,-4.965016107
2001-01-25,-11.76886029,-8.61973766,-6.248456503,-6.576149323,-12.3450917,-8.931099737,-9.103589486,-9.103589486,-11.63956799,-13.59892383,-8.5915999,-8.5915999,-8.689890742,-5.237365172,-8.69184244,-5.817018854,-8.104910425,-6.083338812,-5.694425153,-10.10383771,-8.647437883,-5.77473656,-5.224712072,-6.122482039,-6.71474277,-7.441955992,-9.466827134,-6.705181485,-8.043033733,-4.816723173
2001-01-26,-11.51581654,-8.092527606,-6.977076699,-7.387408466,-13.77524557,-8.673194391,-8.963820969,-8.963820969,-11.43601117,-13.52662803,-8.190635224,-8.190635224,-9.089188951,-5.204411117,-8.238862809,-5.672469738,-8.069998054,-6.127880058,-5.89594484,-9.689316931,-8.841865269,-6.31557388,-4.858204862,-6.446185444,-6.354395444,-7.191055804,-8.713883933,-6.651211395,-7.726725013,-4.76985674
2001-01-29,-11.07551006,-7.652411714,-6.941327746,-6.165076113,-13.50061889,-8.348468636,-8.768891199,-8.768891199,-11.39682536,-13.27757659,-8.222559232,-8.222559232,-10.36808869,-4.957105351,-8.157957405,-5.60108938,-7.083690439,-6.152574308,-5.759153875,-9.704654216,-8.79721394,-6.02838279,-4.907485929,-6.765100475,-6.298628567,-7.212151221,-8.214939247,-6.469467155,-7.473468212,-4.828610484
2001-01-30,-14.03669609,-7.582313744,-7.216649701,-5.99848431,-13.24320781,-8.149885979,-8.855546133,-8.855546133,-11.17691534,-13.50873947,-7.907210926,-7.907210926,-9.547685359,-4.792001519,-7.99402376,-5.563503697,-6.332473293,-5.944290799,-5.835055259,-9.099548932,-8.582610961,-6.279727159,-5.849728981,-6.510765147,-6.45143208,-7.054046776,-8.034649341,-6.654101851,-7.198841832,-4.7974583
2001-01-31,-12.4672678,-7.209179545,-6.549971209,-7.287666298,-12.47946082,-8.302249648,-8.58711726,-8.58711726,-10.90328244,-13.43399146,-7.712417082,-7.712417082,-9.516953273,-4.575984262,-7.812097541,-5.546019345,-5.171100139,-6.208175324,-5.750303265,-8.795054366,-8.419103038,-6.403423048,-7.500125948,-6.319315721,-6.083454372,-7.019969494,-8.318476419,-6.523181437,-6.98068355,-4.886349232
