dates,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-02-11,-9.090264433,-6.559706329,-7.057978307,-7.327696349,-9.027540714,-5.453145366,-6.808380144,-8.925505348,-5.956645964,-8.290593866,-9.371915416,-6.116515818,-8.752203266,-5.412229337,-7.595030197,-6.308347038,-6.835902663,-5.876309668,-6.303966084,-7.508985148,-7.134898185,-7.100119933,-7.491673007,-6.155520283,-6.827133008,-7.742959355,-11.69563095,-6.238429807,-8.732204718,-5.633276968
2000-02-14,-9.851945898,-6.389377075,-6.91967002,-7.683331567,-9.147105974,-5.711119983,-6.674794798,-8.864374215,-5.808507085,-7.920296817,-9.417152115,-6.289525497,-8.783549889,-5.108941876,-7.370068385,-6.242832267,-6.783263384,-6.062565799,-6.888125605,-9.150597445,-6.631770681,-6.75655127,-7.41664551,-6.495080526,-7.500681788,-7.47786371,-10.41710205,-6.187962392,-8.491043785,-5.743153224
2000-02-15,-11.42363006,-6.19648547,-7.112331031,-8.262792878,-8.65566238,-5.578191383,-6.535828182,-8.803033391,-5.576164157,-7.512608846,-9.37974778,-6.12012857,-8.753574133,-4.793801498,-7.781229619,-6.279156528,-6.871596624,-5.992759768,-6.678054295,-8.090569493,-9.245941289,-6.449598978,-7.30075478,-6.969491724,-7.100916937,-7.217736892,-8.952277515,-6.02791606,-8.784802453,-5.936835379
2000-02-16,-10.70137577,-6.378246353,-6.989711427,-8.321368283,-8.412951394,-6.124454072,-6.604469384,-8.664276967,-5.581827373,-7.185039503,-9.190804047,-5.977442302,-8.534051538,-5.056960268,-7.741269294,-6.373953815,-6.810367824,-6.836026746,-6.452429584,-7.343101659,-10.24795176,-6.272210835,-7.551884013,-7.241103541,-6.711490091,-6.972074835,-9.438705568,-6.015525251,-8.512860031,-6.268089059
2000-02-17,-10.75140316,-6.605248771,-7.073868264,-8.235259964,-8.022111071,-5.98371139,-6.543342331,-8.527168488,-5.474964886,-7.860432409,-9.26471499,-5.890405517,-8.532734298,-4.779191171,-7.64193869,-6.704417466,-6.733225826,-6.753768858,-6.209214429,-6.741774388,-7.754445443,-7.366913971,-7.417489894,-7.014029338,-7.347260006,-6.736420684,-8.953708652,-5.822790617,-10.53305173,-6.087612156
2000-02-18,-9.802183039,-6.980809982,-6.950855857,-8.12220707,-7.841277568,-5.838015889,-6.399182999,-8.4157478,-5.87793387,-8.353913651,-9.235799604,-5.778231278,-8.583309336,-4.591447719,-7.462629928,-6.655876029,-6.624835826,-6.700587741,-6.329105232,-6.432404529,-6.902577334,-7.042315537,-7.207333962,-7.282057638,-7.17010143,-6.474438523,-8.366846961,-5.863215441,-12.12692867,-6.154575826
2000-02-22,-9.789330405,-8.318388973,-7.142273766,-8.097055121,-8.156528158,-5.82463311,-6.45394282,-8.394887794,-6.601036769,-8.138838778,-9.160185385,-6.149388645,-8.466746316,-4.777313301,-7.951411844,-6.549570588,-6.757783817,-6.719962479,-6.234143161,-7.708521566,-7.968915803,-6.721906385,-7.012595147,-7.510117997,-7.756346658,-6.973866304,-12.75024602,-6.424769194,-11.58083025,-6.519535133
2000-02-23,-9.44564795,-8.04255911,-8.106515763,-8.008118158,-7.899362448,-5.701961962,-8.082428865,-8.773208059,-6.875099347,-7.866492384,-9.144011688,-6.054996171,-8.493469942,-4.750882887,-8.044114236,-6.343281337,-6.70597223,-6.78314609,-6.811960794,-7.145949841,-8.080376431,-6.549439867,-6.825191517,-7.415370698,-8.631238905,-6.738179283,-10.5051646,-6.141104612,-11.05940686,-6.287502412
2000-02-24,-9.218754701,-7.775915532,-8.401721991,-7.913471513,-11.4887321,-5.887705952,-8.179292391,-8.699864867,-6.540957876,-7.726970251,-9.103103789,-6.061557178,-8.552034905,-5.263461852,-7.790182232,-6.192710753,-6.552673411,-6.594598694,-7.183476344,-6.507659501,-8.445507091,-6.362071145,-6.848949001,-7.239426788,-8.457139784,-6.688304257,-9.631261183,-6.618024485,-10.75188074,-6.138337644
2000-02-25,-8.82047132,-8.706752851,-8.183056657,-8.042597728,-10.85298135,-5.955872874,-8.002232992,-8.675096677,-6.274395042,-7.806651176,-9.037451958,-5.980875995,-8.52709295,-5.550532081,-7.65531279,-6.268646352,-6.684186982,-6.545899281,-7.161513675,-6.010016039,-8.122284727,-6.52491652,-6.840154799,-7.44806083,-8.034610985,-7.07367944,-13.15651252,-7.525206288,-10.37542377,-6.17335086
2000-02-28,-9.717860613,-8.971485484,-8.26100139,-7.922481995,-10.66421229,-5.829141741,-7.799845085,-9.139204674,-6.651075772,-7.540842208,-8.489258766,-6.023358576,-8.570056561,-5.558407129,-7.411633338,-6.239828178,-6.660875276,-6.987042711,-7.191477079,-6.848545617,-6.96980906,-6.464551421,-7.111675821,-7.230857724,-7.611350694,-6.896098759,-11.19876046,-7.279778242,-11.29466119,-6.210882229
2000-02-29,-9.481823538,-9.747069946,-8.186482059,-7.823636376,-10.20963459,-6.337241563,-7.717186823,-9.389182549,-6.651685573,-8.59326056,-8.458692105,-6.245393524,-8.568889967,-5.326369766,-7.390670818,-6.099140479,-6.609643872,-6.87055005,-7.144090857,-6.27055712,-9.320102757,-6.215354205,-7.267046008,-7.11727638,-8.11926036,-6.729194989,-9.436677333,-7.870998335,-11.0805035,-6.372019251
2000-03-01,-9.058141983,-9.459864438,-8.011469722,-7.737925534,-9.703751524,-6.168040435,-7.579590574,-9.417968195,-6.555952411,-8.328087806,-9.109272275,-6.172312076,-8.592772607,-5.120705627,-7.275038129,-5.979190313,-6.605988583,-6.838072592,-7.041180218,-6.38914137,-7.193476973,-5.96302505,-7.068074899,-6.858968085,-7.94989749,-6.839323088,-8.25326437,-7.566212206,-11.27997302,-6.379082278
2000-03-02,-16.33296349,-9.140981746,-7.913519936,-7.626578736,-9.231649988,-6.023071426,-7.891971516,-9.316181981,-6.337799564,-8.384756767,-9.080377452,-6.219687398,-8.443313456,-5.088684075,-7.289404562,-6.564433886,-6.569036369,-6.832458219,-7.044684365,-6.074205403,-6.695001868,-5.768557244,-6.867484637,-6.600627972,-12.18377032,-6.672327243,-10.86421739,-11.8084564,-10.82134562,-6.191894698
2000-03-03,-15.33769729,-8.850284011,-7.732348281,-7.533661734,-8.782595303,-5.87691462,-7.990725649,-9.137334425,-6.411587963,-8.134841261,-9.097566805,-6.282716246,-8.454101675,-4.838536024,-7.200030261,-6.613393201,-6.515705408,-6.722679508,-6.948297299,-6.254529659,-9.034445633,-5.532179091,-6.736825694,-6.337715628,-13.88998903,-6.527700878,-10.56218882,-11.32721453,-10.60535729,-6.049932076
2000-03-06,-13.87697401,-8.511663917,-7.556670046,-7.853035576,-8.71221711,-5.807898774,-9.657479515,-9.382588998,-6.474285023,-7.913799434,-8.61606527,-6.791341266,-8.494120665,-4.631105827,-6.984231924,-6.43993104,-6.630725964,-6.890966876,-6.985587917,-6.438543389,-6.639792042,-5.490896057,-6.570023326,-6.242885805,-13.05781211,-6.370450034,-10.06603867,-10.65697475,-10.54209477,-5.966610327
