dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2004-04-28,-5.783919919,-3.764594612,-4.688842015,-4.739422129,-6.572132357,-2.504456516,-3.521448316,-5.056685248,-4.134459463,-3.887318737,-6.493550017,-3.199008016,-6.626851532,-2.597176181,-4.597926142,-2.69760672,-4.256836942,-3.151495525,-4.23941797,-3.836213941,-3.189143057,-3.45044972,-1.988283969,-4.336283891,-3.576142898,-4.426958176,-5.47491712,-2.362707579,-3.082020142,-2.810440403
2004-04-29,-6.084818064,-4.202926056,-4.606133877,-5.005985227,-7.112696347,-2.686547284,-4.01229228,-5.236011017,-4.475764394,-4.296704797,-6.978806214,-3.275455424,-7.78354225,-2.589161326,-4.86582882,-2.766886478,-4.23336974,-3.46868372,-4.1708378,-4.349618983,-3.185815338,-3.61316598,-2.391047271,-4.670093271,-3.65611903,-4.450150444,-5.64224381,-2.293779834,-3.166570157,-2.979789234
2004-04-30,-5.827146273,-4.088706645,-4.881306152,-5.280559333,-7.548402089,-2.956281517,-4.682631526,-5.443318671,-4.320353977,-4.485050062,-7.413936562,-3.536763627,-7.630267956,-2.515409668,-4.801849022,-2.713360327,-4.421248513,-3.404969589,-4.276161905,-4.25515325,-3.182491093,-3.624041323,-2.310586501,-5.479722633,-3.594856591,-4.41732122,-5.671015366,-2.227215443,-3.193228113,-3.174801139
2004-05-03,-7.055074268,-4.0198467,-5.010089822,-5.202793362,-8.592489114,-2.885304432,-4.567577902,-6.229749197,-4.284367179,-4.942440929,-7.91784085,-3.680802469,-7.684451342,-2.445708178,-4.570437009,-2.64872438,-4.222971181,-3.300687123,-4.197291138,-4.385085877,-3.179170318,-3.505504801,-2.361969147,-5.731369997,-3.83591569,-4.897217403,-5.568226544,-2.162931827,-3.272670284,-3.090544356
2004-05-04,-6.513000043,-3.894845996,-5.036099629,-5.12858336,-8.157471021,-2.840597437,-4.131623687,-5.514709839,-4.141580124,-4.516088379,-7.865696581,-3.604745815,-6.90567982,-2.422840476,-4.41894866,-2.585322315,-4.242636128,-3.211893422,-4.178880679,-4.280378999,-3.175853008,-3.505540234,-2.232351171,-5.2564436,-3.800669538,-4.83670617,-5.377011813,-2.100849366,-3.322679415,-3.159798861
2004-05-05,-5.856479918,-3.820647669,-4.86513373,-5.067472197,-7.754761709,-2.74482995,-4.026022481,-5.415170963,-4.008186104,-4.181325769,-7.488873817,-3.491595917,-6.827063716,-2.419040634,-4.326495209,-2.603760975,-4.196573833,-3.161480564,-4.110824753,-4.16624538,-3.172539162,-3.49352503,-2.426055829,-5.465286275,-3.735980149,-4.719041417,-5.45392255,-2.04089126,-3.40174538,-3.073942729
2004-05-06,-5.948898389,-3.706174241,-4.738999688,-5.003489847,-7.594951152,-2.695868763,-4.198615033,-5.003129567,-3.883547212,-4.129667744,-7.002464992,-3.383676204,-7.748259796,-2.717213678,-4.2705038,-2.620175967,-4.089623948,-3.178759849,-4.040058315,-4.060214843,-3.169228774,-3.369663667,-2.242051553,-5.491668221,-3.651409971,-4.6098311,-5.316083666,-1.982983284,-3.366944885,-3.032276319
2004-05-07,-4.950329555,-3.762121614,-4.554271749,-5.006067373,-7.233821814,-2.771208876,-4.540731567,-5.277805021,-3.770441117,-4.826835243,-7.206469985,-3.430442565,-7.341494157,-2.666533506,-4.378221208,-2.562371198,-4.354987268,-3.295640531,-3.998209464,-4.038990689,-3.165921841,-3.250447395,-2.119901156,-5.616087548,-3.633504453,-4.637133514,-5.336463815,-2.052391232,-3.715572713,-2.957289347
2004-05-10,-4.334307537,-3.99779271,-4.654475447,-4.984027663,-6.89925589,-3.161777601,-5.325276872,-5.620308875,-4.081611125,-5.844809836,-6.907388444,-3.363350634,-7.154789273,-2.590353797,-5.056846026,-2.562012947,-4.618395537,-3.233025607,-4.089706805,-4.178134351,-3.16261836,-3.187942544,-2.456381562,-5.789770395,-3.953819268,-4.543020278,-5.496807527,-2.369882411,-3.852729557,-3.10297639
2004-05-11,-4.588080238,-4.006938214,-5.022226345,-6.333833757,-6.711775035,-3.765144525,-5.839971257,-6.022984388,-3.952155535,-5.489481732,-6.867441649,-3.621864806,-5.903452021,-2.500001972,-5.677480945,-2.776149421,-4.424254687,-3.33621495,-4.433200925,-4.081575738,-3.159318327,-3.237910661,-2.806093443,-6.566767384,-3.980045688,-4.517436141,-5.095057113,-2.542717819,-3.761166319,-3.923238524
2004-05-12,-5.362709862,-3.953729079,-4.908315702,-6.211087796,-6.415407592,-3.665872,-5.684355841,-6.329145341,-3.831188109,-4.93346383,-6.579585345,-3.507923195,-6.472167666,-2.567364243,-5.532977539,-2.713616898,-4.400856301,-3.24078327,-4.419079195,-3.982613038,-3.156021739,-3.155361496,-2.567905445,-6.501102816,-3.878457959,-4.506121397,-4.974528695,-2.591551559,-3.886786358,-3.807536957
2004-05-13,-5.121291808,-3.832221546,-4.776961834,-6.093328616,-6.564251695,-3.545598117,-6.080166564,-5.310377266,-3.718134315,-4.414055345,-6.191870315,-3.476367612,-6.545057254,-2.476754099,-5.396950697,-2.669425289,-4.544793527,-3.199322953,-4.365499891,-3.890427671,-3.152728591,-3.134025803,-2.256464111,-5.993529746,-3.784063175,-4.493082573,-4.677235901,-2.514766863,-3.794023951,-3.697050872
2004-05-14,-4.80723263,-3.717136231,-4.554163549,-5.984423403,-6.653900699,-3.41097067,-5.679724682,-5.201484376,-3.654494204,-4.155200679,-6.168656486,-3.369152154,-5.95101546,-2.549929717,-5.12149727,-2.662755742,-4.315292668,-3.243123869,-4.603029005,-3.81802171,-3.149438881,-3.187406771,-2.547128623,-6.398790851,-3.721465409,-4.550977164,-4.38869338,-2.440620096,-3.704529332,-3.62043313
