dates,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,RTX,VZ,WMT,XOM
2004-01-09,-6.035132141,-2.725759506,-3.674526403,-4.291774638,-3.947666644,-2.207233579,-3.561125711,-3.005177319,-3.062687479,-4.145483685,-4.92624262,-2.468474062,-4.90702003,-2.07480017,-2.526166611,-1.969844993,-4.435362754,-4.397307111,-3.493805545,-2.890740571,-2.664451954,-2.535726843,-2.382131358,-3.0106813,-2.967765947,-3.995370156,-2.610315651,-2.181042484,-3.261784555,-3.032117373
2004-01-12,-5.994170447,-2.82120213,-3.669641238,-4.340197714,-3.865383319,-2.401435642,-4.320804043,-2.989038989,-3.343676123,-4.0903531,-5.090103433,-2.824804896,-5.00926004,-2.367980961,-2.458669612,-2.136000755,-4.557942407,-4.627499799,-3.719999747,-3.235251481,-2.706714506,-2.662876726,-2.332912685,-3.894419144,-3.197381242,-4.019306812,-2.897942351,-2.644197623,-3.476136288,-3.219534845
2004-01-13,-6.097379092,-2.840394936,-3.6721122,-5.040427916,-3.708114302,-2.432439503,-4.213099806,-2.933807712,-4.319955906,-4.266954758,-5.126170672,-2.74955545,-4.902289934,-2.124447654,-2.381846456,-2.112877373,-4.455547911,-4.332959018,-4.051296548,-3.185145943,-2.692539333,-2.824142813,-2.29275303,-3.893438118,-3.707573476,-3.894743102,-2.947560865,-2.51292418,-3.392566235,-3.297630839
2004-01-14,-6.115747201,-2.773778617,-3.637773532,-4.361575906,-3.76715013,-2.348978177,-4.184371376,-2.980295028,-3.522106689,-4.275734718,-5.214294622,-3.105140981,-5.205434281,-3.24460237,-2.32595469,-2.168249035,-4.671602955,-4.271465492,-3.999717337,-3.181951658,-2.650699442,-2.992447229,-2.34004525,-4.010813803,-3.636449668,-3.772250204,-2.86931468,-2.514764661,-3.303333981,-3.17372346
2004-01-15,-6.062174081,-2.647874435,-3.767786471,-4.405803681,-3.621789886,-2.292115153,-4.10583792,-2.932186738,-4.384812095,-4.155105763,-5.21691152,-3.021867989,-5.251447484,-3.140515288,-2.317881965,-2.105571054,-4.604197814,-3.542791566,-3.960708552,-3.155208949,-2.603346391,-2.868209388,-2.280293508,-3.937189963,-3.529345633,-3.957399575,-3.001001561,-2.43478439,-3.20926944,-3.006206744
2004-01-16,-6.101602352,-2.522843051,-3.663090771,-4.308456168,-3.763430689,-2.55950033,-4.127503489,-2.912437062,-3.729073838,-4.130451147,-5.271388217,-2.959802443,-5.385673812,-2.759009081,-2.403847104,-2.062532882,-4.492351262,-3.557676511,-3.958811428,-3.170729015,-2.576392121,-2.945428766,-2.321570891,-3.837759168,-3.343947065,-3.769407351,-3.009199173,-2.387311182,-3.119515449,-3.0614307
2004-01-20,-6.041078605,-2.460934889,-3.817629954,-4.260737508,-3.369035226,-2.47669501,-4.024650479,-2.859650342,-3.799328643,-4.307970668,-5.192486229,-2.885369511,-5.405893608,-2.168687444,-2.398195897,-2.011331365,-4.395915235,-4.31218466,-3.876168497,-3.144281613,-2.539236218,-2.872029158,-2.359130305,-3.887134281,-3.480081394,-3.608974634,-3.090374768,-2.334739902,-3.052242605,-2.968927307
2004-01-21,-5.97263801,-2.392453883,-4.183020116,-4.979866795,-3.53024733,-2.423436313,-4.155220168,-3.011234926,-4.744491276,-4.254034698,-5.287242706,-2.816109622,-5.502015241,-3.276858266,-2.399812068,-1.950856124,-4.37038166,-3.681754287,-3.824367347,-3.123517144,-2.509906038,-3.042789049,-2.354136527,-3.868526838,-3.824243699,-3.463292033,-3.719428303,-2.263082418,-3.154845459,-3.005948298
2004-01-22,-5.912835374,-2.340265262,-4.115594075,-4.445578962,-3.680467983,-2.358760372,-4.114157787,-2.958816268,-4.327826102,-4.084153385,-5.191707963,-2.742488096,-5.688162527,-3.38514604,-2.539286819,-1.948385902,-4.304300245,-6.600358127,-3.748568196,-3.080792592,-2.485139529,-3.237083667,-2.304341703,-4.070449887,-3.803557166,-3.348329793,-3.650605607,-2.277445914,-3.058127125,-3.142430132
2004-01-23,-5.880340051,-2.457798366,-4.369278614,-4.395596019,-3.924137101,-2.288021759,-4.243683698,-2.907937732,-5.014365567,-3.988519505,-5.12602306,-2.699016016,-5.987499217,-3.643399247,-2.518411993,-2.079978015,-4.27489228,-5.540884523,-3.677239224,-3.212992396,-2.575909132,-3.238516058,-2.229237075,-4.04871969,-3.799241242,-3.801904759,-3.663906078,-2.180254656,-3.071969979,-3.019246559
2004-01-26,-5.905096101,-2.422899423,-4.841871049,-4.306855559,-4.609153363,-2.273867588,-4.382458768,-3.223795016,-5.071470245,-3.956992566,-5.07271897,-2.628204351,-5.847670718,-3.227818347,-2.616408045,-2.093660973,-4.254264098,-5.13873084,-3.676989645,-3.23310391,-2.542602102,-3.097557668,-2.356867545,-3.951945045,-3.640718131,-4.057804774,-3.76408468,-2.126909784,-2.948611348,-2.993655787
2004-01-27,-5.944944375,-2.301295468,-4.768424296,-4.298476454,-4.373864011,-2.215394643,-4.265614961,-3.174508078,-5.047569305,-3.845571647,-5.201878973,-2.56838658,-5.63009972,-3.503057466,-2.664474441,-2.041002067,-4.150761001,-5.570370876,-3.752542272,-3.213445947,-2.506444107,-3.15863141,-2.376637541,-3.887315696,-3.671391868,-3.833092479,-3.681881807,-2.067607987,-2.863364506,-3.069452018
2004-01-28,-5.889479562,-2.448138739,-4.83694966,-4.624363666,-4.867294639,-2.145288517,-4.117230144,-3.240247468,-4.689063528,-3.964532003,-5.319103024,-2.711050652,-6.102249515,-3.452768864,-2.681011355,-2.05565419,-4.070083613,-5.075483627,-3.66552239,-3.574904646,-2.508566744,-3.405207216,-2.443465858,-4.250557401,-3.859636078,-3.824513437,-3.574979291,-2.324238362,-2.851049185,-3.064085818
2004-01-29,-5.866710277,-2.707754531,-4.838158965,-5.456343427,-5.372408828,-2.350018404,-4.038808755,-3.454822963,-4.969268645,-4.432622966,-5.968140728,-2.933699775,-6.15422838,-3.018334914,-3.17904711,-2.250993131,-4.391500416,-4.71955705,-3.628060484,-3.913946549,-2.633141207,-3.456720613,-2.486933564,-4.368669415,-3.990188948,-3.637429067,-3.565272483,-2.404636267,-3.180980799,-3.122750871
2004-01-30,-5.836773289,-2.560703686,-4.820811291,-5.851440929,-5.963508859,-2.284820864,-3.881054533,-3.4147503,-4.927524202,-4.232477376,-5.789411266,-2.856194164,-6.382370858,-3.040288397,-3.069109927,-2.197446386,-4.363834258,-5.677496937,-3.57221493,-3.830690371,-2.600570552,-3.543430414,-2.564764341,-4.267077077,-4.334611399,-3.818502098,-3.44337368,-2.320985412,-3.045145721,-3.268674037
2004-02-02,-5.778583571,-2.444698296,-4.917121588,-5.729029719,-6.040111606,-2.47948687,-3.856094232,-3.596948361,-4.573320787,-4.245619956,-5.898487425,-2.784587673,-6.515037068,-3.212348731,-3.022598148,-2.272357011,-4.283079907,-4.900053197,-3.694454561,-3.898202638,-2.593966407,-3.422777956,-2.477058239,-4.260588347,-4.320535512,-3.62723176,-3.314439978,-2.360975937,-3.178802164,-3.423662066
2004-02-03,-5.731373563,-2.348141021,-4.900076817,-5.60732917,-5.815338655,-2.430832008,-3.836715604,-3.631330851,-4.378847604,-4.280787152,-5.831206136,-2.709563911,-6.517825704,-3.695281229,-2.935129914,-2.237704575,-4.20677204,-5.412969295,-3.647009498,-3.955084264,-2.566741726,-3.483996585,-2.428675466,-4.305866414,-4.432980488,-3.830518425,-3.23190097,-2.242533248,-3.063503686,-3.32103477
2004-02-04,-5.669429191,-2.313108101,-4.808439728,-5.447157521,-5.654427575,-2.435720628,-4.11030942,-3.87061101,-4.643974138,-4.342531419,-5.75649284,-2.639554191,-6.205582172,-3.202238148,-2.852284412,-2.186945598,-4.121843482,-5.548858017,-3.596193989,-3.885457164,-2.552040275,-3.407941163,-2.364911007,-4.410134167,-4.272548645,-3.595144845,-3.126905869,-2.300572075,-2.979759035,-3.291528665
2004-02-05,-5.643890222,-2.363710758,-4.693159874,-5.475976608,-7.874669145,-2.546713344,-3.970892753,-3.825570554,-3.967488951,-4.21654379,-6.020099649,-2.569615819,-7.145284734,-3.548487831,-2.849784602,-2.144532899,-4.053108241,-5.118850585,-3.548201942,-3.973683249,-2.527429952,-3.404702779,-2.360777428,-4.608120079,-4.7052139,-3.419075628,-3.554508853,-2.482911912,-2.895087308,-3.158162903
2004-02-06,-5.735888197,-2.38544181,-4.691376841,-5.31590763,-7.896628907,-2.483905172,-3.932896683,-3.75033806,-3.712946044,-4.170695932,-5.88238315,-2.773324402,-7.046868504,-3.36828052,-2.754651287,-2.145284395,-3.990705912,-4.392716208,-3.502470085,-3.851369589,-2.481151491,-3.287544237,-2.392199792,-4.493759436,-4.40158972,-3.692515804,-3.42833884,-2.413066576,-2.787445209,-2.979854562
2004-02-09,-5.739392101,-2.268909616,-4.465830749,-5.634777659,-7.50055583,-2.407438188,-3.781486165,-3.681844192,-4.206190568,-3.964054414,-5.875520643,-2.698248072,-6.726716795,-3.233409433,-2.821571272,-2.142781189,-3.951729792,-4.815370288,-3.408663762,-3.752459697,-2.446462277,-3.259904374,-2.382905951,-4.421682734,-4.376128572,-3.577424434,-3.340899017,-2.337580384,-2.659300701,-2.870209416
